,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
2591,Two die in Potiskum police station blast,1/10/2015,,Potiskum,Yobe,2.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,1.0,,,Bomb,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/two-die-in-potiskum-police-station-blast/,http://www.irishsun.com/index.php/sid/229258133,,11.71228981,11.07087994,"Potiskum, Yobe, Nigeria"
2596,"Boko Haram invades another Borno town, Askira",1/12/2015,,Askira/Uba,Borno,5.0,Boko Haram,,,,,,,,,,,,,,,,,,5.0,,,Bomb,,,,,,,Government Building,,,,School,Other,"casualty figure unknown, ""some bodies""",http://www.punchng.com/news/boko-haram-invades-another-borno-town-askira/,,,10.65087986,12.90927029,"Askira/Uba, Borno, Nigeria"
2597,18 killed in Ondo robbery attack,1/13/2015,Ikare Akoko,Akoko North-West,Ondo,18.0,,,,,,Robber,,,,,8.0,,,,,,,,10.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://www.punchng.com/news/hoodlums-raid-ondo-bank-kill-police-10-year-old/,http://nationalmirroronline.net/new/15-killed-in-ondo-robbery-attack/,http://www.vanguardngr.com/2015/01/8-policemen-killed-casualties-rise-18-ikare-robbery-incident/,7.641250134,5.758989811,"Akoko North-West, Ondo, Nigeria"
2619,Boko Haram captures Monguno,1/25/2015,,Monguno,Borno,40.0,Boko Haram,State Actor,,,,,,,,,15.0,,,,,,,,25.0,,,,Gun,,,,,,Government Building,,,,,,,http://af.reuters.com/article/nigeriaNews/idAFL6N0V405U20150125?feedType=RSS&feedName=nigeriaNews&sp=true,http://www.premiumtimesng.com/news/headlines/175592-inside-details-of-boko-harams-3-pronged-attack-on-maiduguri-konduga-monguno.html,,12.67990017,13.61610031,"Monguno, Borno, Nigeria"
2629,Pipeline vandals kill two policemen in Lagos,1/27/2015,,Lagos State,Lagos,2.0,,State Actor,,Other Armed Actor,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/pipeline-vandals-kill-two-policemen-in-lagos/,http://www.tribune.com.ng/news/news-headlines/item/27886-oil-thieves-overrun-police-station-kill-2-officers,,6.60160017,3.396859884,"Lagos State, Lagos, Nigeria"
2665,"Boko Haram militants ambush prison, detonate car bomb in Niger",2/9/2015,Diffa,Diffa,Diffa,5.0,Boko Haram,State Actor,,,,,,,,,,,,,,,,,5.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,Nigerien state actors,http://af.reuters.com/article/nigeriaNews/idAFL5N0VJ22J20150209?feedType=RSS&feedName=nigeriaNews&sp=true,http://www.premiumtimesng.com/news/headlines/176523-boko-haram-attacks-niger-country-moves-send-troops-nigeria.html,,13.3113699,12.60937023,"Diffa, Niger"
2676,Boko Haram attacks village in Chad as revolt spreads,2/13/2015,Ngouboua,Kaya,Lac,11.0,Boko Haram,,,,,,,,,2.0,1.0,,,,,,,,8.0,,,,Gun,,,Other,,,Government Building,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N0VN1R920150213?feedType=RSS&feedName=nigeriaNews&sp=true,http://www.punchng.com/news/boko-haram-militants-launch-deadly-first-attack-in-chad/,,15.36765289,18.66758156,"Ngouboua, Chad"
2679,Military jets bombard Boko Haram militants in Gombe,2/14/2015,,Yamaltu/Deba,Gombe,0.0,Boko Haram,State Actor,,,,,,,,0.0,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,Other,,http://www.premiumtimesng.com/news/top-news/176832-update-military-jets-bombard-boko-haram-militants-gombe.html,http://www.punchng.com/news/troops-storm-monguno-boko-haram-attacks-gombe-barracks/,http://nationalmirroronline.net/new/curfew-imposed-on-gombe-as-army-repels-bharam/,10.29314995,11.16759968,"Yamaltu/Deba, Gombe, Nigeria"
2680,"Kano Police repel gunmen attack, two killed, two arrested",2/14/2015,,Kibiya,Kano,2.0,Boko Haram,State Actor,,,,,,,,2.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/kano-police-repel-gunmen-attack-two-killed-two-arrested/,http://www.premiumtimesng.com/regional/nwest/176901-villagers-police-kill-boko-haram-suspects-kano.html,,11.39181995,8.665599823,"Kibiya, Kano, Nigeria"
2683,Cameroon army kills 86 Boko Haram militants,2/16/2015,Waza,Logone et Chari,Extrême-Nord,91.0,Boko Haram,State Actor,,,,,,,,86.0,5.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://af.reuters.com/article/nigeriaNews/idAFL5N0VQ2FC20150216?feedType=RSS&feedName=nigeriaNews,http://www.punchng.com/news/cameroon-army-kills-86-boko-haram-militants/,http://www.radioaustralia.net.au/international/2015-02-17/boko-haram-militants-clash-with-cameroon-army-86-militants-five-soldiers-killed/1416005,11.28331947,14.68461323,"Waza, Cameroon"
2701,Inmates break into Calabar prison armoury,2/20/2015,,Calabar Municipal,Cross River,0.0,,State Actor,,Other Armed Actor,,,,,,,,,0.0,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/inmates-break-into-calabar-prison-armory-attempt-escape/,http://dailytimes.com.ng/article/calabar-prison-raided-gunmen-free-inmates,http://www.punchng.com/news/inmates-break-into-calabar-prison-armoury/,4.976709843,8.336429596,"Calabar Municipal, Cross River, Nigeria"
2816,"Boko Haram Attacks Dukku, Kills 8",3/28/2015,,Dukku,Gombe,8.0,Boko Haram,,,,,,,,,,,,,,,,,,,8.0,,,Gun,,,Other,,,Government Building,,,Bank,,Other,,http://www.premiumtimesng.com/news/top-news/179637-breaking-voting-stalled-in-gombe.html,http://www.nigeriatell.com/news/boko-haram-attacks-dukku-lga-in-borno-kills-many#.VRba52TF9Ew,http://af.reuters.com/article/nigeriaNews/idAFL6N0WU05B20150328?feedType=RSS&feedName=nigeriaNews&sp=true,10.82260036,10.77159977,"Dukku, Gombe, Nigeria"
2822,"Police confirm attack on Lagos commissioner’s residence, INEC office",3/28/2015,,Agege,Lagos,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,,Gun,,,Other,,,Government Building,,,,,,,http://www.premiumtimesng.com/regional/ssouth-west/179827-police-confirm-attack-on-lagos-commissioners-residence-inec-office.html,http://www.punchng.com/news/gunmen-attack-lagos-commissioners-residence/,,6.62569,3.312580109,"Agege, Lagos, Nigeria"
2827,"Gunmen attack collation centre, police station, INEC office",3/29/2015,,Alkaleri,Bauchi,0.0,Boko Haram,,,,,,,,,,,,,,,,,,,0.0,,,Gun,,,,,,Government Building,,,,School,Other,,http://www.premiumtimesng.com/news/top-news/179928-breaking-gunmen-attack-collation-centre-police-station-inec-office.html,http://www.punchng.com/news/community-leader-clubbed-to-death-in-benin/,,10.26985,10.33100986,"Alkaleri, Bauchi, Nigeria"
2835,"Pregnant lawyer, others escape death as thugs sack court",3/30/2015,,Yenagoa,Bayelsa,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,0.0,,,,Gun,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/pregnant-lawyer-others-escape-death-as-thugs-sack-court/,,,4.9340401,6.269609928,"Yenagoa, Bayelsa, Nigeria"
2848,‎Scores Killed In Another Boko Haram Attack In Borno,4/6/2015,New Marte,Marte,Borno,60.0,Boko Haram,,,,,,,,,10.0,10.0,,,,,,,,40.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,"""leaving some soldiers and scores of civilians dead""; ""Our soldiers killed a number of them""",http://saharareporters.com/2015/04/07/%E2%80%8Escores-killed-another-boko-haram-attack-borno,,,12.2412,13.86950016,"Marte, Borno, Nigeria"
2902,"Boko Haram attacks Nigerien soldiers, kills scores",4/25/2015,,,,230.0,Boko Haram,State Actor,,,,,,,,156.0,46.0,,,,,,,,28.0,,,,Gun,,,,,,Government Building,,,,,Other,,http://reliefweb.int/report/nigeria/hundreds-found-dead-fresh-boko-haram-violence-hits-nigeria,http://www.punchng.com/news/boko-haram-attacks-nigerien-soldiers-kills-scores/,http://af.reuters.com/article/nigeriaNews/idAFL8N0XP5Y320150428?feedType=RSS&feedName=nigeriaNews,14.8399,5.722199917,"Karamga, Niger"
2908,2 soldiers killed ​in renewed Boko Haram attacks,4/25/2015,,Mafa,Benue,15.0,Boko Haram,State Actor,,,,,,,,10.0,2.0,,,,,,,,3.0,,,,Gun,,,,,,Government Building,,,,,,"gunned down ""many"" BH",http://www.premiumtimesng.com/news/top-news/182139-%E2%80%8B2-soldiers-killed-%E2%80%8Bin-renewed-boko-haram-attacks.html,,,9.5595055,8.077880859,"Mafa, Benue, Nigeria"
2927,Police attack journalists during Niger Assembly impeachment saga,5/5/2015,Minna,Chanchaga,Niger,0.0,,State Actor,,,,,,,,,,,,,,,,0.0,,,,,,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/police-attack-journalists-during-niger-assembly-impeachment-saga/,,,9.6125803,6.543499947,"Chanchaga, Niger, Nigeria"
2982,"Boko Haram invades Yobe town, destroy public buildings",5/30/2015,Ngalda,Fika,Yobe,0.0,Boko Haram,,,,,,,,,,,,,,,,,,0.0,,,Bomb,Gun,,,Other,,,Government Building,,,,School,Other,,http://www.vanguardngr.com/2015/05/boko-haram-invades-yobe-town-destroy-public-buildings/,http://www.naharnet.com/stories/en/180598-boko-haram-raids-two-nigeria-towns,http://www.punchng.com/news/boko-haram-raids-yobe-towns-steals-foodstuffs/,11.28013,11.31002998,"Fika, Yobe, Nigeria"
3021,Suspected Boko Haram suicide bombers kill 27 in Chad capital,6/15/2015,,N'Djaména,N'Djamena,27.0,Boko Haram,,,,,,,,,4.0,,,,,,,,,23.0,,,,,,Suicide Bombing,,,,Government Building,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N0Z11Y620150615?feedType=RSS&feedName=nigeriaNews,http://www.punchng.com/news/boko-haram-kills-34-in-potiskum-chad/,,12.10816,15.04778004,"N'Djamena, Chad"
3055,"Hoodlums attack APC witnesses, supporters at Ekiti tribunal",6/30/2015,,Ekiti,Ekiti,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,,,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/hoodlums-attack-apc-witnesses-supporters-at-ekiti-tribunal/,,,7.690750122,5.04034996,"Ekiti, Ekiti, Nigeria"
3073,Bomb blast kills 25 in Zaria,7/7/2015,,Zaria,Kaduna,25.0,Boko Haram,,,,,,,,,1.0,,,,,,,,,24.0,,,,,,Suicide Bombing,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/186224-update-casualty-figure-in-zaria-bomb-explosion-rises-to-25-dead-32-injured.html,http://af.reuters.com/article/nigeriaNews/idAFL8N0ZN22S20150707?feedType=RSS&feedName=nigeriaNews,,11.05006027,7.710100174,"Zaria, Kaduna, Nigeria"
3092,"Boko Haram attacks prison in Niger, four killed",7/11/2015,Diffa,Diffa,Diffa,4.0,Boko Haram,State Actor,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,1 Nigerien soldier killed,http://af.reuters.com/article/nigeriaNews/idAFL5N0ZS0N920150712?feedType=RSS&feedName=nigeriaNews,http://dailypost.ng/2015/07/12/boko-haram-fighters-soldier-killed-in-failed-prison-attack-in-niger/,http://in-cyprus.com/boko-haram-militant-attack-niger-prison/,13.3113699,12.60937023,"Diffa, Niger"
3166,"Pregnant woman, 14 others injured as army, police clash",8/7/2015,Benin,Oredo,Edo,0.0,,State Actor,,,,,,,,,,,,,,,,,0.0,,,,Gun,,,Other,,,Government Building,,,,,Other,,http://www.punchng.com/news/pregnant-woman-14-others-injured-as-army-police-clash/,http://sunnewsonline.com/new/15-injured-as-soldiers-police-clash-in-benin/,,6.272409916,5.583789825,"Oredo, Edo, Nigeria"
3168,"Gunmen invade Bayelsa JTF base, kill four soldiers, policeman",8/7/2015,,Nembe,Bayelsa,5.0,,,,Other Armed Actor,,,,,,,5.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,suspected pirates,http://www.punchng.com/news/gunmen-invade-bayelsa-jtf-base-kill-four-soldiers-policeman/,http://www.premiumtimesng.com/news/top-news/188039-pirates-kill-4-soldiers-policeman-in-bayelsa.html,http://af.reuters.com/article/nigeriaNews/idAFL5N10J0AI20150808?feedType=RSS&feedName=nigeriaNews,4.534639835,6.400000095,"Nembe, Bayelsa, Nigeria"
3194,"Drivers attack FRSC in Osun, beat up personnel",8/20/2015,,Osogbo,Osun,0.0,,,,,,,Other,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/drivers-attack-frsc-in-osun-beat-up-personnel/,http://sunnewsonline.com/new/nurtw-frsc-clash-in-osun/,,7.796599865,4.516600132,"Osogbo, Osun, Nigeria"
3264,"Boko Haram invade Kogi DSS office, policeman, attackers killed",9/26/2015,,Lokoja,Kogi,4.0,Boko Haram,State Actor,,,,,,,,3.0,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/gunmen-attack-kogi-dss-office/,http://www.premiumtimesng.com/news/headlines/190623-gunmen-attack-kogi-sss-office-kill-policeman.html,http://nationalmirroronline.net/new/boko-haram-attacks-dss-hq-frees-inmates-in-kogi/,7.810039997,6.740779877,"Lokoja, Kogi, Nigeria"
3270,"Thugs invade Ogun tribunal, beat up PDP chiefs",9/29/2015,Isbao,Abeokuta South,Ogun,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/thugs-invade-ogun-tribunal-beat-up-pdp-chiefs/,,,7.156599998,3.344520092,"Abeokuta South, Ogun, Nigeria"
3276,"Suspected Boko Haram insurgents blow up, market, police station in Abuja",10/2/2015,,Kuje,Federal Capital Territory,20.0,Boko Haram,,,,,,,,,,,,,,,,,,15.0,,,Bomb,,,,,,,Government Building,,,,,Other,Kuje and Nyanya,http://www.premiumtimesng.com/news/headlines/190962-boko-haram-returns-to-abuja-bombs-15-to-death-in-kuje-nyanya-attacks.html,http://af.reuters.com/article/nigeriaNews/idAFL5N12307B20151003?feedType=RSS&feedName=nigeriaNews,http://www.punchng.com/news/20-dead-41-injured-fg/,8.87996006,7.226830006,"Kuje, Federal Capital Territory, Nigeria"
3281,Suicide Attacks Kill Six in Niger,10/4/2015,Diffa,Diffa,Diffa,10.0,Boko Haram,,,,,,,,,4.0,1.0,,,,,,,,5.0,,,,,,Suicide Bombing,,,,Government Building,,,,,Other,Nigerien soldier killed,http://af.reuters.com/article/nigeriaNews/idAFL8N1240PQ20151004?feedType=RSS&feedName=nigeriaNews,http://www.naharnet.com/stories/en/191296-suicide-attacks-kill-six-in-niger,http://reliefweb.int/report/niger/suicide-attacks-kill-six-niger-aid-worker,13.3113699,12.60937023,"Diffa, Niger"
3283,18 dead in Yobe multiple blasts,10/7/2015,,Damaturu,Yobe,18.0,Boko Haram,,,,,,,,,3.0,,,,,,,,,15.0,,,,,,Suicide Bombing,,,,Government Building,,Mosque,,,Other,,http://www.punchng.com/news/bomb-blast-hits-buhari-housing-estate-yobe-16-killed/,http://af.reuters.com/article/nigeriaNews/idAFL8N12730M20151007?feedType=RSS&feedName=nigeriaNews,http://www.premiumtimesng.com/news/headlines/191140-yobe-bomb-blasts-death-toll-rises.html,11.74440002,11.96255016,"Damaturu, Yobe, Nigeria"
3284,Soldiers kill 100 terrorists in Yobe,10/7/2015,Goniri,Gujba,Yobe,107.0,Boko Haram,State Actor,,,,,,,,100.0,7.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/soldiers-kill-100-terrorists-in-yobe/,http://www.peoplesdailyng.com/troops-kill-100-boko-haram-lose-7-soldiers-in-yobe/,,11.50006008,11.93356037,"Gujba, Yobe, Nigeria"
3304,Soldiers foil suicide attack at Nigeria army base,10/18/2015,,Maiduguri,Borno,1.0,Boko Haram,State Actor,,,,,,,,1.0,,,,,,,,,,,,,Gun,,Suicide Bombing,,,,Government Building,,,,,,,http://nationalmirroronline.net/new/soldiers-foil-suicide-attack-at-nigeria-army-base/,http://www.vanguardngr.com/2015/10/soldiers-foil-suicide-attack-at-nigeria-army-base/,http://sunnewsonline.com/new/soldiers-foil-suicide-attack-at-nigeria-army-base/,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria"
3316,Police kill 3 bandits in Delta,10/19/2015,Isiokolo,Warri South West,Delta,3.0,,State Actor,,,,Robber,,,,,,,,,,,3.0,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/more-news/192021-police-kill-3-bandits-in-delta-kano.html,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria"
3324,Shoot-out as youths attack police station,10/27/2015,,Nsukka,Enugu,0.0,,State Actor,,Other Armed Actor,,,,,,,,,,,,,,,0.0,,,,Gun,,,,,,Government Building,,,,,,,http://nationalmirroronline.net/new/shoot-out-as-youths-attack-police-station/,,,6.854279995,7.389259815,"Nsukka, Enugu, Nigeria"
3341,"Robbers sack Igarra Police Station, kill 6",11/3/2015,,Akoko-Edo,Edo,7.0,,,,Other Armed Actor,,Robber,,,,,2.0,,,,,,1.0,,4.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://sunnewsonline.com/new/robbers-sack-igarra-police-station-kill-6/,http://leadership.ng/news/471997/6-killed-as-robbers-raid-2-banks-in-edo,,7.2990098,6.160059929,"Akoko-Edo, Edo, Nigeria"
3355,9 Boko Haram Terrorists Killed During Attack On Military Base In Borno,11/13/2015,,Gwoza,Borno,9.0,Boko Haram,State Actor,,,,,,,,9.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,Other,,http://www.premiumtimesng.com/news/top-news/193129-army-kills-7-insurgents-after-repelling-attack-on-troops-in-borno-spokesperson.html,http://nationalmirroronline.net/new/boko-haram-attempts-retake-of-gworza/,http://saharareporters.com/2015/11/13/9-boko-haram-terrorists-killed-during-attack-military-base-borno,11.08539963,13.69190025,"Gwoza, Borno, Nigeria"
3366,Robbers attack Lagos police station,11/15/2015,,Epe,Lagos,0.0,,,,,,Robber,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://news2.onlinenigeria.com/news/general/440898-robbers-attack-lagos-police-station.html,,,6.583740234,3.975810051,"Epe, Lagos, Nigeria"
3394,"1 Soldier, 20 Insurgents Die, As Military Repels Attack On Adamawa Town
",11/29/2015,Gulak,Madagali,Adamawa,21.0,Boko Haram,State Actor,,Other Armed Actor,,,,,,20.0,1.0,,,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,Other,,http://www.premiumtimesng.com/news/top-news/194189-boko-haram-strikes-again-in-adamawa-burns-down-military-artillery.html,http://leadership.ng/news/479521/1-soldier-20-insurgents-die-military-repels-attack-adamawa-town,http://news2.onlinenigeria.com/news/general/443060-boko-haram-militants-strike-in-adamawa-burns-down-military-artillery.html,10.80249977,13.45289993,"Madagali, Adamawa, Nigeria"
3395,Two inmates killed in Taraba failed jailbreak,12/2/2015,,Jalingo,Taraba,2.0,,State Actor,,,,,Other,,,,,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,,,,2 prisoners killed (unarmed),http://www.premiumtimesng.com/news/headlines/194398-two-inmates-killed-in-taraba-failed-jailbreak.html,http://www.dailytrust.com.ng/news/general/two-inmates-die-in-jalingo-jail-break-attempt/122346.html,,8.901989937,11.35350037,"Jalingo, Taraba, Nigeria"
3482,Gunmen invade police station in Zamfara,1/15/2016,Kanoma,Maru,Zamfara,0.0,,State Actor,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/more-news/196871-gunmen-invade-police-station-in-zamfara.html,,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
3592,"Gunmen attack bank, police station in Bayelsa",3/12/2016,Amassoma,Southern Ijaw,Bayelsa,0.0,,State Actor,,,,Robber,,,,,,,,,,,,,0.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://www.premiumtimesng.com/news/top-news/200015-gunmen-attack-bank-police-station-bayelsa.html,http://news2.onlinenigeria.com/headline/467039-militants-attack-police-station-in-bayelsa.html,http://dailypost.ng/2016/03/13/suspected-militants-attack-police-station-bank-in-bayelsa/,4.970369816,6.104189873,"Southern Ijaw, Bayelsa, Nigeria"
3597,Mob raid Plateau police station over police ‘killing’ of resident,3/14/2016,Angwan Rukuba,Jos North,Plateau,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://www.premiumtimesng.com/regional/200188-mob-raid-plateau-police-station-police-killing-resident.html,,,9.942799568,8.893250465,"Jos North, Plateau, Nigeria"
3618,"Heavy shooting, as Amaechi, Wike clash at police station",3/20/2016,,Port Harcourt,Rivers,1.0,,State Actor,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://nationalmirroronline.net/new/heavy-shooting-as-amaechi-wike-clash-at-police-station/,http://www.vanguardngr.com/2016/03/breaking-news-sporadic-shooting-p-harcourt-rivers-await-rerun-election-results/,,4.801559925,7.025010109,"Port Harcourt, Rivers, Nigeria"
3734,"Maiduguri explosion kills 8, injures 19",5/12/2016,,Maiduguri,Borno,8.0,Boko Haram,,,,,,,,,1.0,1.0,,,,,,,,6.0,,,,,,Suicide Bombing,,,,Government Building,,,,,,,http://nationalmirroronline.net/new/maiduguri-explosion-kills-8-injures-19/,http://af.reuters.com/article/nigeriaNews/idAFL5N18951S?feedType=RSS&feedName=nigeriaNews,http://www.premiumtimesng.com/news/more-news/203306-tension-maiduguri-female-suicide-bomber-kills-policeman-attacks-secretariat.html,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria"
3774,"Herdersmen attack Benue communities, kill 7",5/30/2016,Tse Aondo and Tse Ankou,Konshisha,Benue,7.0,,,Sectarian Actor,,,,,,,,,7.0,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://sunnewsonline.com/herdersmen-attack-benue-communities-kill-7/,,,7.030610085,8.811829567,"Konshisha, Benue, Nigeria"
3838,"Nigerian soldiers, police in deadly fight for Ramadan rice, semovita; exchange gunfire",6/23/2016,,Maiduguri,Borno,0.0,,State Actor,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/headlines/205824-nigerian-soldiers-police-deadly-fight-ramadan-rice-semovita-exchange-gunfire.html,http://nationalmirroronline.net/new/shootout-in-government-house-over-rice-distribution/,http://saharareporters.com/2016/06/23/nigerian-army-police-probe-policemans-shooting-soldier-govt-house-maiduguri,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria"
3858,"Militants storm Cross River governor’s office, deputy governor taken hostage",7/1/2016,,Calabar Municipal,Cross River,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://dailynews.nigeriannation.com/news/just-in-militants-storm-cross-river-governors-office-deputy-governor-taken-hostage/,,,4.976709843,8.336429596,"Calabar Municipal, Cross River, Nigeria"
3883,Soldiers Kill Dozens As Boko Haram Attacks Troops Base in Borno,7/12/2016,Kangarwa,Kukawa,Borno,27.0,Boko Haram,State Actor,,,,,,,,25.0,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201607130233.html,http://news2.onlinenigeria.com/news/general/494410-25-boko-haram-terrorists-killed-in-kangarwa-attack-nigerian-army.html,http://guardian.ng/news/boko-haram-kills-two-soldiers-injures-11-in-borno-attack/,12.92539978,13.55990028,"Kukawa, Borno, Nigeria"
3906,9 injured as gunmen attack Delta lawmakers during legislative sitting,7/21/2016,,Ughelli South,Delta,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,Gun,,,Other,,,Government Building,,,,,,,http://www.vanguardngr.com/2016/07/9-injured-gunmen-attack-delta-lawmakers-legislative-sitting/,,,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria"
3908,Gunmen razed down INEC office in Rivers,7/22/2016,Bori,Khana,Rivers,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://www.authorityngr.com/2016/07/Gunmen-razed-down-INEC-office-in-Rivers/,,,4.684460163,7.424379826,"Khana, Rivers, Nigeria"
3922,Two feared dead as policeman shoots Nasarawa workers,7/29/2016,,Nasarawa,Nasarawa,2.0,,State Actor,,,,,,,,,,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/top-news/207777-police-open-fire-protesting-nasarawa-workers-kill-1.html,http://guardian.ng/news/4-workers-shot-as-nlc-president-meets-governor-al-makura/,http://punchng.com/two-feared-dead-policeman-shoots-nasarawa-workers/,8.543680191,7.710309982,"Nasarawa, Nasarawa, Nigeria"
3935,"Gunmen storm Delta Government House, kill one",8/4/2016,,Warri South West,Delta,1.0,,,,,,Robber,,,,,,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://sunnewsonline.com/gunmen-storm-delta-government-house-kill-one/,http://www.vanguardngr.com/2016/08/robbers-strike-govt-house-warri-kill-1/,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria"
3963,19 killed in Ebonyi jail break attempt,8/18/2016,,Abakaliki,Ebonyi,19.0,,State Actor,,Other Armed Actor,,,,,,,2.0,,17.0,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,,,http://www.dailytrust.com.ng/news/general/12-killed-in-ebonyi-jail-break-attempt/159497.html,http://sunnewsonline.com/ebonyi-jailbreak-death-toll-rises-to-19/,http://pulse.ng/local/jailbreak-over-14-killed-as-inmates-prison-officers-clash-in-ebonyi-id5394973.html,6.322869778,8.117070198,"Abakaliki, Ebonyi, Nigeria"
3993,"Confusion, gunshots at Kuje Prison as riot breaks out",8/29/2016,,,Federal Capital Territory,0.0,,State Actor,,Other Armed Actor,,,,,,,,,0.0,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/headlines/209491-breaking-confusion-gunshots-kuje-prison-riot-breaks.html,http://saharareporters.com/2016/08/30/cell-search-led-kuje-prison-riot-prison-officials-say,http://sunnewsonline.com/officials-inmates-clash-at-kuje-prisons/,8.906233788,7.189051151,", Federal Capital Territory, Nigeria"
4062,Gunmen kill policeman two months to retirement,9/30/2016,,Mbaitoli,Imo,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/gunmen-kill-policeman-two-months-retirement/,,,5.586269855,7.042709827,"Mbaitoli, Imo, Nigeria"
4063,"Gunmen storm Nigeria police station, kill four officers",10/2/2016,Igumale,Ado,Benue,4.0,,,,Other Armed Actor,,,,,,,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/headlines/211863-gunmen-storm-nigeria-police-station-kill-four-officers.html,http://saharareporters.com/2016/10/03/gunmen-storm-nigeria-police-station-kill-four-officers,http://dailypost.ng/2016/10/02/breaking-two-officers-reportedly-killed-gunmen-attack-police-station-benue-community/,6.792099953,7.964129925,"Ado, Benue, Nigeria"
